student_unique_id,course_id,oral_grade,practical_grade,midterm_grade,assignment_grade
C007,A00245,5.8,5.4,4.9,10.0
C007,A00246,7.8,6.4,4.4,10.0
C007,A00247,7.1,6.7,4.6,10.0
C007,A00248,6.6,6.9,6.8,10.0
C007,A00253,5.0,7.9,6.9,3.0
C007,A00254,5.0,5.6,6.7,10.0
C007,A00255,4.7,7.8,5.3,10.0
C007,A00256,7.5,7.4,4.7,10.0
C007,A00257,6.6,6.9,6.3,10.0
C007,A00258,7.0,7.4,5.9,10.0
C007,A00259,4.6,6.4,6.9,10.0
C007,A00260,7.9,5.5,5.8,10.0
C007,A00261,7.4,7.3,5.4,3.0
C007,A00262,5.2,6.8,5.2,3.0
C007,A00263,5.1,7.2,4.8,10.0
C007,A00264,5.1,6.2,5.1,10.0
C007,A00277,5.6,8.2,4.4,3.0
C007,A00278,0.0,0.0,5.4,10.0
C007,A00279,6.0,5.3,4.1,10.0
C007,A00280,5.5,6.6,4.7,10.0
C012,A00245,6.6,7.6,7.0,10.0
C012,A00246,5.0,7.8,5.3,10.0
C012,A00247,5.5,6.7,6.7,3.0
C012,A00248,0.0,0.0,6.9,3.0
C012,A00257,6.1,5.9,6.3,3.0
C012,A00258,7.2,6.4,7.8,10.0
C012,A00259,5.2,8.1,4.1,3.0
C012,A00260,6.3,8.1,7.0,10.0
C012,A00261,6.6,7.4,7.8,10.0
C012,A00262,4.7,8.0,7.4,3.0
C012,A00263,6.6,5.3,4.7,3.0
C012,A00264,0.0,0.0,5.3,10.0
C012,A00265,4.7,6.1,4.7,10.0
C012,A00266,7.8,5.6,6.4,3.0
C012,A00267,7.9,5.8,6.8,3.0
C012,A00268,7.3,6.5,5.3,10.0
C012,A00277,5.6,5.9,6.2,10.0
C012,A00278,0.0,0.0,6.8,3.0
C012,A00279,6.9,5.5,5.7,10.0
C012,A00280,6.0,6.0,7.4,10.0
C015,A00241,4.9,7.0,7.1,10.0
C015,A00242,6.2,6.5,4.3,3.0
C015,A00243,4.6,6.2,6.5,3.0
C015,A00244,7.7,7.6,4.9,3.0
C015,A00253,5.4,8.1,6.2,3.0
C015,A00254,6.8,7.6,7.8,10.0
C015,A00255,5.6,6.2,7.5,3.0
C015,A00256,6.3,7.6,5.6,10.0
C015,A00261,6.4,5.5,5.2,10.0
C015,A00262,5.1,5.5,4.9,10.0
C015,A00263,0.0,0.0,6.1,10.0
C015,A00264,7.2,7.8,4.5,10.0
C015,A00265,7.8,5.9,6.2,10.0
C015,A00266,7.6,5.2,4.0,3.0
C015,A00267,6.6,5.5,5.3,3.0
C015,A00268,7.7,8.0,4.9,3.0
C015,A00269,4.8,7.2,7.9,10.0
C015,A00270,5.2,5.9,6.9,10.0
C015,A00271,4.7,6.9,5.4,10.0
C015,A00272,5.6,6.8,4.4,3.0
C016,A00241,5.9,7.3,6.1,10.0
C016,A00242,0.0,0.0,4.9,3.0
C016,A00243,7.4,8.0,6.1,3.0
C016,A00244,5.7,6.1,7.3,10.0
C016,A00257,5.5,7.4,6.5,10.0
C016,A00258,6.4,5.1,6.5,10.0
C016,A00259,5.0,6.3,6.2,3.0
C016,A00260,7.3,6.2,7.7,3.0
C016,A00261,4.8,6.9,7.7,10.0
C016,A00262,8.0,5.3,6.1,3.0
C016,A00263,7.2,7.8,5.2,3.0
C016,A00264,5.2,5.8,5.8,10.0
C016,A00265,4.5,7.4,4.7,3.0
C016,A00266,7.4,7.8,6.5,3.0
C016,A00267,7.0,7.0,6.0,10.0
C016,A00268,7.1,7.6,4.4,10.0
C016,A00269,7.2,7.3,4.8,3.0
C016,A00270,4.8,6.2,5.9,10.0
C016,A00271,5.8,7.8,7.6,10.0
C016,A00272,4.9,6.0,6.3,10.0
C018,A00253,0.0,0.0,6.7,3.0
C018,A00254,6.7,7.6,5.4,3.0
C018,A00255,5.7,6.3,6.3,10.0
C018,A00256,4.7,6.1,5.8,3.0
C018,A00265,5.6,6.6,6.6,3.0
C018,A00266,5.6,7.9,4.2,3.0
C018,A00267,7.1,8.3,6.0,3.0
C018,A00268,6.7,6.9,5.2,10.0
C018,A00269,0.0,0.0,5.3,10.0
C018,A00270,6.2,8.2,7.8,10.0
C018,A00271,4.9,5.3,4.7,10.0
C018,A00272,7.0,5.8,5.2,3.0
C018,A00273,7.2,7.5,6.0,3.0
C018,A00274,0.0,0.0,7.5,3.0
C018,A00275,7.2,8.0,5.7,10.0
