student_unique_id,course_unique_id,assignment_total,assignment_max_total,midterm_grade,final_grade,total_course_grade,performance_level,student_system_type,general_grade_level,used_mercy,course_status,grade_description
C007,C062,8,20,16,56,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C007,C064,10,20,12,59,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C007,C065,13,20,19,55,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C007,C066,5,20,19,41,65,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C007,C070,13,20,19,41,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C012,C062,16,20,16,42,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C012,C065,3,20,17,45,65,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C012,C066,13,20,18,40,71,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C012,C067,11,20,16,56,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C012,C070,13,20,17,57,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C015,C061,20,20,18,50,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C015,C064,20,20,20,44,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C015,C066,11,20,19,51,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C015,C067,16,20,17,51,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C015,C068,15,20,20,51,86,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C016,C061,16,20,19,58,93,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C016,C065,18,20,12,60,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C016,C066,13,20,13,47,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C016,C067,13,20,14,51,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C016,C068,11,20,16,55,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C018,C064,16,20,18,57,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C018,C067,15,20,13,47,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C018,C068,15,20,17,40,72,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C018,C069,13,20,19,48,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C018,C070,18,20,20,55,93,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C020,C061,13,20,15,46,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C020,C063,15,20,15,50,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C020,C068,13,20,20,46,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C020,C069,11,20,12,56,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C020,C070,15,20,16,46,77,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C021,C062,20,20,15,58,93,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C021,C063,18,20,18,55,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C021,C065,18,20,20,40,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C021,C066,13,20,15,56,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C021,C067,13,20,20,60,93,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C022,C061,11,20,12,41,64,PASS,Credit,غير مُطبق,FALSE,Pass,مقبول
C022,C063,13,20,14,57,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C022,C064,11,20,16,40,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C022,C069,15,20,16,56,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C022,C070,13,20,19,49,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C027,C062,15,20,18,41,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C027,C063,15,20,13,59,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C027,C064,5,20,15,60,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C027,C065,20,20,13,42,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C027,C067,10,20,12,58,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C028,C063,18,20,12,40,70,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C028,C066,13,20,13,41,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C028,C068,13,20,19,42,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
