progress_id,student_unique_id,lecture_unique_id,view_count,watched_seconds,progress_percent,downloaded_offline,last_opened_at
P000001,C001,L00287,0,0,0,No,2025-03-03
P000002,C001,L00187,0,0,0,No,2025-03-20
P000003,C001,L00727,2,368,50,Yes,2025-03-08
P000004,C001,L00591,0,0,0,Yes,2025-03-21
P000005,C001,L00219,1,101,10,Yes,2025-03-14
P000006,C001,L00551,3,116,10,No,2025-03-12
P000007,C001,L00716,1,797,90,Yes,2025-03-19
P000008,C001,L00828,1,1166,70,Yes,2025-03-10
P000009,C001,L00136,0,0,0,No,2025-03-17
P000010,C001,L00494,3,1577,100,No,2025-03-19
P000011,C001,L00222,3,1025,100,No,2025-03-20
P000012,C001,L00737,3,103,10,Yes,2025-03-03
P000013,C001,L00568,3,428,70,Yes,2025-03-08
P000014,C001,L00411,3,372,30,Yes,2025-03-26
P000015,C001,L00391,0,0,0,Yes,2025-03-24
P000016,C001,L00358,0,0,0,Yes,2025-03-01
P000017,C001,L00875,0,0,0,Yes,2025-03-04
P000018,C001,L00644,3,319,20,No,2025-03-22
P000019,C001,L00558,4,485,30,Yes,2025-03-06
P000020,C001,L00285,0,0,0,No,2025-03-07
P000021,C001,L00140,3,124,20,No,2025-03-12
P000022,C001,L00545,0,0,0,Yes,2025-03-19
P000023,C001,L00108,2,62,10,Yes,2025-03-13
P000024,C001,L00406,2,148,10,Yes,2025-03-16
P000025,C001,L00570,1,780,100,No,2025-03-25
P000026,C001,L00506,3,994,90,Yes,2025-03-12
P000027,C001,L00413,1,311,20,No,2025-03-25
P000028,C001,L00276,0,0,0,No,2025-03-05
P000029,C001,L00359,4,214,30,No,2025-03-01
P000030,C001,L00260,4,290,30,Yes,2025-03-05
P000031,C001,L00760,4,83,10,No,2025-03-01
P000032,C001,L00410,0,0,0,Yes,2025-03-09
P000033,C001,L00422,0,0,0,Yes,2025-03-01
P000034,C001,L00061,0,0,0,Yes,2025-03-20
P000035,C001,L00226,3,63,10,Yes,2025-03-03
P000036,C001,L00669,0,0,0,Yes,2025-03-11
P000037,C001,L00619,4,352,50,No,2025-03-17
P000038,C001,L00633,2,358,20,Yes,2025-03-25
P000039,C001,L00019,1,1544,90,Yes,2025-03-15
P000040,C002,L00679,2,870,90,Yes,2025-03-07
P000041,C002,L00547,2,1581,100,No,2025-03-08
P000042,C002,L00104,0,0,0,No,2025-03-15
P000043,C002,L00489,0,0,0,Yes,2025-03-19
P000044,C002,L00869,0,0,0,Yes,2025-03-04
P000045,C002,L00285,1,64,10,Yes,2025-03-18
P000046,C002,L00458,1,922,90,No,2025-03-23
P000047,C002,L00466,2,826,50,No,2025-03-03
P000048,C002,L00028,0,0,0,Yes,2025-03-13
P000049,C002,L00438,4,370,30,No,2025-03-11
P000050,C002,L00561,3,804,70,No,2025-03-03
P000051,C002,L00316,0,0,0,No,2025-03-09
P000052,C002,L00475,1,363,30,Yes,2025-03-06
P000053,C002,L00789,3,457,50,No,2025-03-01
P000054,C002,L00025,1,299,20,No,2025-03-05
P000055,C002,L00708,3,338,30,Yes,2025-03-04
P000056,C002,L00264,1,256,30,Yes,2025-03-09
P000057,C002,L00765,2,710,50,No,2025-03-10
P000058,C002,L00845,2,791,90,Yes,2025-03-05
P000059,C002,L00771,1,205,30,Yes,2025-03-21
P000060,C002,L00628,3,703,90,No,2025-03-01
P000061,C002,L00273,2,254,30,No,2025-03-02
P000062,C002,L00039,2,646,50,No,2025-03-01
P000063,C002,L00173,1,221,20,No,2025-03-08
P000064,C002,L00686,0,0,0,Yes,2025-03-09
P000065,C002,L00817,0,0,0,No,2025-03-21
P000066,C002,L00524,2,69,10,No,2025-03-19
P000067,C002,L00009,3,1101,90,No,2025-03-14
P000068,C002,L00024,1,794,50,Yes,2025-03-05
P000069,C002,L00044,4,1792,100,No,2025-03-06
P000070,C003,L00436,1,903,90,No,2025-03-18
P000071,C003,L00056,0,0,0,Yes,2025-03-16
P000072,C003,L00403,4,1078,70,No,2025-03-13
P000073,C003,L00649,2,84,10,No,2025-03-20
P000074,C003,L00201,1,1437,90,No,2025-03-20
P000075,C003,L00700,4,730,100,No,2025-03-06
P000076,C003,L00334,2,1493,100,Yes,2025-03-18
P000077,C003,L00725,3,1035,70,No,2025-03-08
P000078,C003,L00222,1,926,70,Yes,2025-03-10
P000079,C003,L00011,1,874,90,No,2025-03-25
P000080,C003,L00643,0,0,0,No,2025-03-18
P000081,C003,L00487,3,234,20,No,2025-03-01
P000082,C003,L00274,2,211,30,Yes,2025-03-20
P000083,C003,L00466,4,357,20,No,2025-03-06
P000084,C003,L00731,0,0,0,Yes,2025-03-06
P000085,C003,L00243,4,566,50,No,2025-03-04
P000086,C003,L00121,2,84,10,No,2025-03-02
P000087,C003,L00213,1,1272,100,Yes,2025-03-09
P000088,C003,L00531,2,163,20,Yes,2025-03-03
P000089,C003,L00596,0,0,0,Yes,2025-03-24
P000090,C003,L00231,2,336,30,Yes,2025-03-26
P000091,C003,L00240,4,278,30,Yes,2025-03-07
P000092,C004,L00415,4,778,50,No,2025-03-19
P000093,C004,L00565,4,783,90,Yes,2025-03-10
P000094,C004,L00089,1,69,10,Yes,2025-03-18
P000095,C004,L00116,2,647,90,No,2025-03-12
P000096,C004,L00381,1,153,10,No,2025-03-26
P000097,C004,L00012,3,94,10,Yes,2025-03-13
P000098,C004,L00169,1,227,30,Yes,2025-03-11
P000099,C004,L00313,3,1287,100,No,2025-03-03
P000100,C004,L00707,0,0,0,No,2025-03-04
P000101,C004,L00344,3,1793,100,Yes,2025-03-17
P000102,C004,L00466,0,0,0,No,2025-03-25
P000103,C004,L00875,0,0,0,No,2025-03-19
P000104,C004,L00376,4,214,20,Yes,2025-03-15
P000105,C004,L00358,4,830,50,No,2025-03-24
P000106,C004,L00663,3,532,30,No,2025-03-07
P000107,C004,L00694,2,702,100,No,2025-03-08
P000108,C004,L00592,0,0,0,No,2025-03-02
P000109,C004,L00345,4,515,30,No,2025-03-14
P000110,C004,L00365,3,1061,100,No,2025-03-02
P000111,C004,L00226,1,1587,90,No,2025-03-13
P000112,C004,L00395,0,0,0,Yes,2025-03-19
P000113,C004,L00270,2,1085,70,Yes,2025-03-04
P000114,C004,L00605,0,0,0,Yes,2025-03-15
P000115,C004,L00799,3,1678,100,No,2025-03-10
P000116,C004,L00107,2,99,10,Yes,2025-03-24
P000117,C004,L00552,0,0,0,No,2025-03-12
P000118,C004,L00264,3,1058,70,No,2025-03-03
P000119,C004,L00109,0,0,0,Yes,2025-03-21
P000120,C004,L00546,0,0,0,Yes,2025-03-08
P000121,C004,L00302,4,699,70,No,2025-03-09
P000122,C004,L00265,0,0,0,No,2025-03-16
P000123,C004,L00050,3,220,20,Yes,2025-03-15
P000124,C005,L00050,4,85,10,No,2025-03-20
P000125,C005,L00838,3,668,50,No,2025-03-21
P000126,C005,L00207,3,788,70,No,2025-03-01
P000127,C005,L00692,3,673,100,No,2025-03-19
P000128,C005,L00608,1,524,30,Yes,2025-03-18
P000129,C005,L00389,1,637,70,No,2025-03-14
P000130,C005,L00764,2,836,50,No,2025-03-26
P000131,C005,L00202,3,647,100,Yes,2025-03-11
P000132,C005,L00730,3,270,20,No,2025-03-07
P000133,C005,L00321,4,521,50,No,2025-03-23
P000134,C005,L00835,4,998,70,No,2025-03-05
P000135,C005,L00267,1,526,50,Yes,2025-03-24
P000136,C005,L00028,4,514,30,No,2025-03-05
P000137,C005,L00266,4,1260,100,Yes,2025-03-21
P000138,C005,L00246,4,1176,70,Yes,2025-03-03
